"Ran Luo" pushed new code on "Mon, 24 Jan 2022 07:14:45 +0800" with title: "feat: update keybindings icon (#2919)" and stats:	 3 files changed, 3 insertions(+), 3 deletions(-)	
"Ran Luo" pushed new code on "Sat, 22 Jan 2022 00:50:57 +0800" with title: "opti: update emojis (#2897)" and stats:	 1 file changed, 10037 insertions(+), 6235 deletions(-)	
"Ran Luo" pushed new code on "Fri, 21 Jan 2022 23:56:01 +0800" with title: "build: update dependences (#2898)" and stats:	 5 files changed, 1039 insertions(+), 691 deletions(-)	
"Shashwat Sharma" pushed new code on "Fri, 21 Jan 2022 19:00:05 +0530" with title: "feat: set default name of exported file to current filename (#2902)" and stats:	 1 file changed, 2 insertions(+), 2 deletions(-)	
"Luo Tao" pushed new code on "Fri, 21 Jan 2022 21:29:48 +0800" with title: "feat: set image folder to .assets, create folder without filename extension. (#2905)" and stats:	 1 file changed, 1 insertion(+), 1 deletion(-)	
"Vaibhaw" pushed new code on "Fri, 21 Jan 2022 14:33:22 +0530" with title: "Update README.md (#2917)" and stats:	 1 file changed, 2 insertions(+), 2 deletions(-)	
"pokir" pushed new code on "Fri, 21 Jan 2022 08:00:42 +0300" with title: "Add periods at the end of sentences in README.md (#2916)" and stats:	 1 file changed, 2 insertions(+), 1 deletion(-)	
"Ran Luo" pushed new code on "Mon, 17 Jan 2022 01:28:21 +0800" with title: "Feat/use picgo to upload image (#2890)" and stats:	 19 files changed, 454 insertions(+), 442 deletions(-)	
"Ran Luo" pushed new code on "Sun, 16 Jan 2022 23:10:20 +0800" with title: "feat: Remove aidou (#2889)" and stats:	 29 files changed, 7 insertions(+), 778 deletions(-)	
"Felix Häusler" pushed new code on "Sun, 16 Jan 2022 16:06:03 +0100" with title: "Fix invalid fallback accelerator warning (#2892)" and stats:	 3 files changed, 8 insertions(+), 9 deletions(-)	
"Felix Häusler" pushed new code on "Sun, 16 Jan 2022 16:05:46 +0100" with title: "Fix multiple JS issues (#2893)" and stats:	 6 files changed, 14 insertions(+), 10 deletions(-)	
"Flex Zhong" pushed new code on "Sun, 16 Jan 2022 22:18:39 +0800" with title: "Update zh_cn.md (#2894)" and stats:	 1 file changed, 13 insertions(+), 5 deletions(-)	
"bigshans" pushed new code on "Sat, 15 Jan 2022 15:43:55 +0800" with title: "fix: fix sidebar display bug when data empty (#2883)" and stats:	 1 file changed, 9 insertions(+)	
